Date,Monthly Return
2000-01,-0.151888342
2000-02,0.066795741
2000-03,-0.02722323
2000-04,-0.17630597
2000-05,-0.124575311
2000-06,-0.248382924
2000-07,-0.170395869
2000-08,0.377593361
2000-09,-0.073795181
2000-10,-0.047154472
2000-11,-0.325938567
2000-12,-0.369620253
2001-01,0.112449799
2001-02,-0.411552347
2001-03,0.004171779
2001-04,0.542521994
2001-05,0.057667934
2001-06,-0.152186938
2001-07,-0.117314488
2001-08,-0.284227382
2001-09,-0.332214765
2001-10,0.169179229
2001-11,0.621776504
2001-12,-0.044169611
2002-01,0.311460259
2002-02,-0.006342495
2002-03,0.014184397
2002-04,0.167132867
2002-05,0.092270821
2002-06,-0.108612178
2002-07,-0.110769231
2002-08,0.033910035
2002-09,0.06626506
2002-10,0.215317012
2002-11,0.206095041
2002-12,-0.191006424
2003-01,0.156696665
2003-02,0.007322654
2003-03,0.182644253
2003-04,0.102189781
2003-05,0.250958522
2003-06,0.011981053
2003-07,0.146475771
2003-08,0.112391931
2003-09,0.045552677
2003-10,0.123890151
2003-11,-0.008451222
2003-12,-0.025013897
2004-01,-0.042189282
2004-02,-0.146626984
2004-03,0.00627761
2004-04,0.007393715
2004-05,0.112385321
2004-06,0.121649485
2004-07,-0.284558824
2004-08,-0.02004111
2004-09,0.071316203
2004-10,-0.164708762
2004-11,0.162613536
2004-12,0.116179435
2005-01,-0.024158952
2005-02,-0.186024988
2005-03,-0.02586697
2005-04,-0.055733878
2005-05,0.097342398
2005-06,-0.068149817
2005-07,0.364460562
2005-08,-0.054263566
2005-09,0.06088993
2005-10,-0.1200883
2005-11,0.215755143
2005-12,-0.027032604
2006-01,-0.049416755
2006-02,-0.164658635
2006-03,-0.024305556
2006-04,-0.036134684
2006-05,-0.017040613
2006-06,0.11759607
2006-07,-0.304808687
2006-08,0.146522871
2006-09,0.041842361
2006-10,0.185865504
2006-11,0.059070622
2006-12,-0.021814576
2007-01,-0.045362392
2007-02,0.039023095
2007-03,0.016607052
2007-04,0.541342046
2007-05,0.127343877
2007-06,-0.010558288
2007-07,0.148077766
2007-08,0.017443341
2007-09,0.165686397
2007-10,-0.042941492
2007-11,0.01581604
2007-12,0.022968198
2008-01,-0.16126943
2008-02,-0.17027027
2008-03,0.105940748
2008-04,0.102805049
2008-05,0.038026199
2008-06,-0.101568243
2008-07,0.04104732
2008-08,0.058553838
2008-09,-0.099616384
2008-10,-0.213304013
2008-11,-0.254018169
2008-12,0.200936768
2009-01,0.147035881
2009-02,0.10149609
2009-03,0.133508257
2009-04,0.096405229
2009-05,-0.031420765
2009-06,0.072701628
2009-07,0.025101602
2009-08,-0.053288246
2009-09,0.149895307
2009-10,0.272600686
2009-11,0.143927279
2009-12,-0.010227356
2010-01,-0.067722272
2010-02,-0.055896659
2010-03,0.146706081
2010-04,0.009795978
2010-05,-0.084901532
2010-06,-0.129124821
2010-07,0.078985905
2010-08,0.058868437
2010-09,0.25819114
2010-10,0.052018337
2010-11,0.061550566
2010-12,0.02622577
2011-01,-0.057555556
2011-02,0.021516152
2011-03,0.039471406
2011-04,0.087048243
2011-05,0.004494152
2011-06,0.039656312
2011-07,0.088170571
2011-08,-0.0327611
2011-09,0.004646192
2011-10,-0.012579198
2011-11,-0.099386446
2011-12,-0.099797181
2012-01,0.12328134
2012-02,-0.075858877
2012-03,0.126996494
2012-04,0.145128636
2012-05,-0.081888745
2012-06,0.072518905
2012-07,0.02167725
2012-08,0.064166309
2012-09,0.024368631
2012-10,-0.084263919
2012-11,0.0822706
2012-12,-0.004681611
2013-01,0.058317057
2013-02,-0.004632768
2013-03,0.008400499
2013-04,-0.047581523
2013-05,0.060635909
2013-06,0.03153789
2013-07,0.084734776
2013-08,-0.067193413
2013-09,0.112677059
2013-10,0.16437436
2013-11,0.08128451
2013-12,0.013134546
2014-01,-0.100554221
2014-02,0.009506816
2014-03,-0.071057664
2014-04,-0.095846889
2014-05,0.027685529
2014-06,0.039129739
2014-07,-0.036301496
2014-08,0.083229496
2014-09,-0.048961774
2014-10,-0.05266096
2014-11,0.108622995
2014-12,-0.083539988
2015-01,0.142355405
2015-02,0.072292838
2015-03,-0.021201548
2015-04,0.13351255
2015-05,0.017663189
2015-06,0.011322601
2015-07,0.23511258
2015-08,-0.04338338
2015-09,-0.001949775
2015-10,0.222723632
2015-11,0.062150567
2015-12,0.016681587
2016-01,-0.131515432
2016-02,-0.058739387
2016-03,0.074422648
2016-04,0.111094303
2016-05,0.095817099
2016-06,-0.009919949
2016-07,0.060353263
2016-08,0.013639832
2016-09,0.088603177
2016-10,-0.056717343
2016-11,-0.049694891
2016-12,-0.000932625
2017-01,0.098163682
2017-02,0.026181547
2017-03,0.049110126
2017-04,0.043370857
2017-05,0.075276468
2017-06,-0.02676393
2017-07,0.020433842
2017-08,-0.007268845
2017-09,-0.019630798
2017-10,0.149716521
2017-11,0.064662384
2017-12,-0.006186581
2018-01,0.240638977
2018-02,0.042429073
2018-03,-0.043049371
2018-04,0.082074789
2018-05,0.040539417
2018-06,0.043065192
2018-07,0.04567601
2018-08,0.132364476
2018-09,-0.004824302
2018-10,-0.202191758
2018-11,0.057671756
2018-12,-0.1113497
2019-01,0.144317098
2019-02,-0.045905988
2019-03,0.0859357
2019-04,0.081858747
2019-05,-0.078613192
2019-06,0.066791742
2019-07,-0.014179179
2019-08,-0.048473823
2019-09,-0.022732741
2019-10,0.023474696
2019-11,0.013587304
2019-12,0.02612169
2020-01,0.087063806
2020-02,-0.06221372
2020-03,0.035020571
2020-04,0.268900119
2020-05,-0.01278494
2020-06,0.129566724
2020-07,0.147113627
2020-08,0.09046103
2020-09,-0.087578591
2020-10,-0.035754087
2020-11,0.043439871
2020-12,0.028058384
2021-01,-0.015576012
2021-02,-0.035328414
2021-03,0.000371783
2021-04,0.120662734
2021-05,-0.070470257
2021-06,0.067354993
2021-07,-0.032722287
2021-08,0.043034172
2021-09,-0.053518108
2021-10,0.026602459
2021-11,0.039923698
2021-12,-0.049251968
2022-01,-0.102829906
2022-02,0.026672519
2022-03,0.061437285
2022-04,-0.237525094
2022-05,-0.032764321
2022-06,-0.116459212
2022-07,0.270595973
2022-08,-0.060615044
2022-09,-0.108621893
2022-10,-0.09345131
2022-11,-0.057594698
2022-12,-0.129894353
2023-01,0.22773806
2023-02,-0.08629879
2023-03,0.096147699
2023-04,0.020911956
2023-05,0.143480374
2023-06,0.081107968
2023-07,0.025467873
2023-08,0.032390801
2023-09,-0.07890727
2023-10,0.046963443
2023-11,0.097678266
2023-12,0.040043851
2024-01,0.021455805
2024-02,0.138917516
2024-03,0.020479804
2024-04,-0.02982595
2024-05,0.008228583
2024-06,0.095273168
2024-07,-0.03244504
2024-08,-0.045352424
2024-09,0.043865557
2024-10,0.000375635
2024-11,0.11528973
2024-12,0.055317716